Sr_No,Pathway,Pval,adjPval,qval,FC
91,YAGI_AML_WITH_T_8_21_TRANSLOCATION,2.05E-78,9.60E-75,8.603345763,-24.84847402
92,ZHANG_BREAST_CANCER_PROGENITORS_UP,2.05E-78,9.60E-75,8.603345763,-19.69320221
93,ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,1.47E-77,6.91E-74,8.553404631,-13.50906948
94,ALFANO_MYC_TARGETS,1.47E-77,6.91E-74,8.553404631,-20.7159851
95,BAELDE_DIABETIC_NEPHROPATHY_DN,1.47E-77,6.91E-74,8.553404631,-43.42618448
96,BASAKI_YBX1_TARGETS_DN,1.47E-77,6.91E-74,8.553404631,-8.736522121
97,BEIER_GLIOMA_STEM_CELL_DN,1.47E-77,6.91E-74,8.553404631,-3.820570231
98,BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN,1.47E-77,6.91E-74,8.553404631,-18.12652966
99,BILD_HRAS_ONCOGENIC_SIGNATURE,1.47E-77,6.91E-74,8.553404631,-12.97248212
100,BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP,1.47E-77,6.91E-74,8.553404631,-9.420208683
101,BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP,1.47E-77,6.91E-74,8.553404631,-10.96064435
